Gene_Name	nextprot_accession	primary_isoform	Ensembl_Accession	RefSeq_Accession	Uniprot_Accession	Chromosome	Start	End	n_neXtProt_entry	Protein_existence	PeptideAtlas_Category	nobs	Description	accession
AGL3	AT2G03710.1	AT2G03710.1		NP_178466.1	P29383	2	1129622	1131628	1		canonical	7	 K-box region and MADS-box transcription factor family protein 	AT2G03710.1
Q9FX58	AT1G13390.1	AT1G13390.1		NP_172796.1	Q9FX58	1	4592829	4593549	1		canonical	4	 translocase subunit seca 	AT1G13390.1
RBL17	AT1G74140.1	AT1G74140.1		NP_001031280.1	B3H707	1	27876928	27879584	1		canonical	3	 Rhomboid-related intramembrane serine protease family protein 	AT1G74140.1
MANP	AT3G30540.1	AT3G30540.1		NP_189675.2	Q9LW44	3	12144792	12146475	1		subsumed by AT3G10900.1	3	 Glycosyl hydrolase superfamily protein 	AT3G30540.1
A0A1P8BFE6	AT5G10630.3	AT5G10630.3		NP_001331941.1	A0A1P8BFE6	5	3360561	3364414	1		canonical	46	 Translation elongation factor EF1A/initiation factor IF2gamma family protein 	AT5G10630.3
CAP8	AT2G01600.1	AT2G01600.1		NP_565267.1	Q8LBH2	2	268975	272356	1		canonical	72	 ENTH/ANTH/VHS superfamily protein 	AT2G01600.1
Q9C7D5	AT3G12210.2	AT3G12210.2		NP_566413.1	Q9C7D5	3	3894843	3895879	1		canonical	13	 DNA binding protein 	AT3G12210.2
OSB3	AT5G44785.1	AT5G44785.1		NP_568639.1	Q8GWJ4	5	18070877	18073010	1		canonical	26	 organellar single-stranded DNA binding protein 3 	AT5G44785.1
NAT1	AT2G05760.1	AT2G05760.1		NP_178636.1	Q9SHZ3	2	2180978	2183710	1		canonical	12	 Xanthine/uracil permease family protein 	AT2G05760.1
RAA5D	AT2G31680.1	AT2G31680.1		NP_180726.1	Q9SIP0	2	13473781	13474957	1		canonical	20	 RAB GTPase homolog A5D 	AT2G31680.1
Q8VY61	AT2G20060.1	AT2G20060.1		NP_565463.1	Q8VY61	2	8659384	8661227	1		canonical	46	 Ribosomal protein L4/L1 family 	AT2G20060.1
Q9SKG8	AT2G13760.1	AT2G13760.1		NP_178996.1	Q9SKG8	2	5734955	5735644	1		not observed		 no-apical-meristem-associated carboxy-terminal domain protein 	AT2G13760.1
MED12	AT4G00450.1	AT4G00450.1		NP_001319832.1	H3K2Y6	4	202425	210666	1		canonical	103	 RNA polymerase II transcription mediator 	AT4G00450.1
GT20	AT5G41250.1	AT5G41250.1		NP_198941.1	Q9FHD8	5	16501217	16502902	1		subsumed by AT1G63450.1	1	 Exostosin family protein 	AT5G41250.1
AXR4	AT1G54990.1	AT1G54990.1		NP_564672.2	Q9FZ33	1	20511565	20513489	1		canonical	26	 alpha/beta-Hydrolases superfamily protein 	AT1G54990.1
Q9SG81	AT3G10750.1	AT3G10750.1		NP_187686.1	Q9SG81	3	3366927	3368269	1		not observed		 FBD domain family 	AT3G10750.1
F4J556	AT3G17380.1	AT3G17380.1		NP_566576.1	F4J556	3	5950240	5952124	1		canonical	17	 TRAF-like family protein 	AT3G17380.1
F4JTY8	AT4G19760.1	AT4G19760.1		NP_193711.2	F4JTY8	4	10750381	10752028	1		not observed		 Glycosyl hydrolase family protein with chitinase insertion domain-containing protein 	AT4G19760.1
DF230	AT4G32717.1	AT4G32717.1		NP_001031776.1	P82643	4	15786337	15786841	1		canonical	6	 SCR-like 24 	AT4G32717.1
COP10	AT3G13550.1	AT3G13550.1		NP_566459.2	Q9LJD7	3	4423569	4424797	1		canonical	4	 Ubiquitin-conjugating enzyme family protein 	AT3G13550.1
O65423	AT4G21580.1	AT4G21580.1		NP_193889.1	O65423	4	11475822	11477514	1		canonical	70	 oxidoreductase%2C zinc-binding dehydrogenase family protein 	AT4G21580.1
NDA8B	AT5G18800.1	AT5G18800.1		NP_197381.1	Q8LGE7	5	6267304	6268393	1		canonical	36	 Cox19-like CHCH family protein 	AT5G18800.1
B3H7A1	AT3G49796.1	AT3G49796.1		NP_001118804.1	B3H7A1	3	18471057	18471302	1		not observed		 hypothetical protein 	AT3G49796.1
A0A1P8AUL6	AT1G43825.1	AT1G43825.1		NP_001322604.1	A0A1P8AUL6	1	16608603	16608818	1		not observed		 hypothetical protein 	AT1G43825.1
CORI3	AT4G23600.1	AT4G23600.1		NP_194091.1	Q9SUR6	4	12310657	12312885	1		canonical	139	 Tyrosine transaminase family protein 	AT4G23600.1
4CL4	AT3G21230.1	AT3G21230.1		NP_188760.3	Q9LU36	3	7448231	7451947	1		canonical	27	 4-coumarate:CoA ligase 5 	AT3G21230.1
Q9C5L6	AT5G10190.1	AT5G10190.1		NP_196581.1	Q9C5L6	5	3199205	3201140	1		canonical	12	 Major facilitator superfamily protein 	AT5G10190.1
Q9FYA0	AT5G13100.1	AT5G13100.1		NP_196814.1	Q9FYA0	5	4156789	4158235	1		canonical	12	 Gap junction beta-4 protein 	AT5G13100.1
Q3E9E9	AT5G18510.1	AT5G18510.1		NP_197352.1	Q3E9E9	5	6141778	6143886	1		subsumed by AT1G19900.1	2	 Aminotransferase-like%2C plant mobile domain family protein 	AT5G18510.1
PSA7B	AT5G66140.1	AT5G66140.1		NP_201415.1	O24616	5	26437445	26438677	1		canonical	142	 proteasome alpha subunit D2 	AT5G66140.1
DIT1	AT5G12860.1	AT5G12860.1		NP_568283.2	Q9LXV3	5	4059927	4061919	1		canonical	45	 dicarboxylate transporter 1 	AT5G12860.1
Q9FNQ6	AT5G61090.1	AT5G61090.1		NP_001330380.1	Q9FNQ6	5	24574902	24577585	1		canonical	3	 Polynucleotidyl transferase%2C ribonuclease H-like superfamily protein 	AT5G61090.1
SNP33	AT5G61210.1	AT5G61210.1		NP_001332102.1	Q9S7P9	5	24624027	24625366	1		canonical	29	 soluble N-ethylmaleimide-sensitive factor adaptor protein 33 	AT5G61210.1
C3H65	AT5G56930.1	AT5G56930.1		NP_200503.1	Q9LTS7	5	23027949	23030565	1		canonical	5	 CCCH-type zinc finger family protein 	AT5G56930.1
ARFF	AT1G30330.2	AT1G30330.2		NP_001031115.1	Q9ZTX8	1	10686125	10690036	1		canonical	32	 auxin response factor 6 	AT1G30330.2
Q8W494	AT1G11240.1	AT1G11240.1		NP_563886.1	Q8W494	1	3766936	3768212	1		canonical	11	 ribosomal RNA-processing protein 	AT1G11240.1
NAT2	AT2G34190.1	AT2G34190.1		NP_180966.1	Q94C70	2	14437065	14439407	1		canonical	4	 Xanthine/uracil permease family protein 	AT2G34190.1
Q9SVC8	AT3G52470.1	AT3G52470.1		NP_190815.1	Q9SVC8	3	19450750	19451376	1		canonical	43	 Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family 	AT3G52470.1
PP129	AT1G77360.1	AT1G77360.1		NP_001322987.1	Q9FVX2	1	29071983	29073536	1		not observed		 Tetratricopeptide repeat (TPR)-like superfamily protein 	AT1G77360.1
Q9LJ40	AT3G24690.1	AT3G24690.1		NP_189112.1	Q9LJ40	3	9020738	9021290	1		canonical	8	 hypothetical protein 	AT3G24690.1
G6PD4	AT1G09420.1	AT1G09420.1		NP_563844.1	Q93ZW0	1	3038640	3041715	1		canonical	32	 glucose-6-phosphate dehydrogenase 4 	AT1G09420.1
Q3E9U9	AT4G28405.1	AT4G28405.1		NP_974631.2	Q3E9U9	4	14050579	14050815	1		not observed		 Expressed protein 	AT4G28405.1
FB123	AT2G33200.1	AT2G33200.1		NP_180878.1	O49315	2	14069541	14070671	1		not observed		 F-box family protein 	AT2G33200.1
A4FVN8	AT1G10580.1	AT1G10580.1		NP_172528.2	A4FVN8	1	3491560	3493665	1		canonical	80	 Transducin/WD40 repeat-like superfamily protein 	AT1G10580.1
GL115	AT5G39120.1	AT5G39120.1		NP_198728.1	Q9FIC9	5	15662705	15663486	1		marginally distinguished	13	 RmlC-like cupins superfamily protein 	AT5G39120.1
Q9C872	AT1G31370.1	AT1G31370.1		NP_174422.1	Q9C872	1	11238298	11239363	1		not observed		 Ubiquitin-specific protease family C19-related protein 	AT1G31370.1
Q84JF2	AT1G62850.2	AT1G62850.2		NP_001077760.1	Q84JF2	1	23272608	23274211	1		canonical	14	 Class I peptide chain release factor 	AT1G62850.2
A0A1P8BH19	AT5G05653.1	AT5G05653.1		NP_001332475.1	A0A1P8BH19	5	1688685	1689568	1		not observed		 hypothetical protein 	AT5G05653.1
UBA3	AT5G19180.1	AT5G19180.1		NP_568370.1	O65041	5	6453375	6455750	1		canonical	69	 E1 C-terminal related 1 	AT5G19180.1
OEP39	AT3G44160.1	AT3G44160.1		NP_190002.2	Q5PP51	3	15889225	15891814	1		canonical	5	 Outer membrane OMP85 family protein 	AT3G44160.1
F4ICX5	AT1G52390.1	AT1G52390.1		NP_175648.2	F4ICX5	1	19511968	19512237	1		not observed		 hypothetical protein 	AT1G52390.1
F4I9V7	AT1G65200.1	AT1G65200.1		NP_176699.1	F4I9V7	1	24218470	24222789	1		subsumed by AT1G65130.1	2	 Ubiquitin carboxyl-terminal hydrolase-related protein 	AT1G65200.1
Q9FLR7	AT5G07640.1	AT5G07640.1		NP_196381.1	Q9FLR7	5	2414847	2415876	1		not observed		 RING/U-box superfamily protein 	AT5G07640.1
PEL1	AT4G27650.1	AT4G27650.1		NP_001329759.1	Q9ZT87	4	13803459	13807556	1		canonical	32	 Eukaryotic release factor 1 (eRF1) family protein 	AT4G27650.1
WAG1	AT1G53700.1	AT1G53700.1		NP_175774.1	Q9C8M5	1	20048604	20050034	1		not observed		 WAG 1 	AT1G53700.1
Q9SJ13	AT2G21860.1	AT2G21860.1		NP_565520.1	Q9SJ13	2	9318333	9319990	1		canonical	27	 violaxanthin de-epoxidase-like protein 	AT2G21860.1
Q8W4C1	AT4G12790.1	AT4G12790.1		NP_001031621.1	Q8W4C1	4	7517280	7518892	1		canonical	11	 P-loop containing nucleoside triphosphate hydrolases superfamily protein 	AT4G12790.1
SIEL	AT3G08800.1	AT3G08800.1		NP_187492.2	Q8VZA0	3	2671148	2674910	1		canonical	10	 ARM repeat superfamily protein 	AT3G08800.1
RH20	AT1G55150.1	AT1G55150.1		NP_175911.1	Q9C718	1	20574634	20577141	1		canonical	66	 DEA(D/H)-box RNA helicase family protein 	AT1G55150.1
CSPL8	AT2G36330.1	AT2G36330.1		NP_181174.2	Q84WP5	2	15233620	15235298	1		canonical	6	 Uncharacterized protein family (UPF0497) 	AT2G36330.1
Q9LV43	AT3G24600.1	AT3G24600.1		NP_189103.2	Q9LV43	3	8972195	8973195	1		canonical	4	 late embryogenesis abundant protein%2C group 2 	AT3G24600.1
Y3270	AT3G56270.1	AT3G56270.1		NP_191186.1	Q9LYL6	3	20870220	20871854	1		weak	1	 WEB family protein (DUF827) 	AT3G56270.1
CMTA2	AT5G64220.1	AT5G64220.1		NP_001032135.1	Q6NPP4	5	25686434	25691903	1		canonical	74	 Calmodulin-binding transcription activator protein with CG-1 and Ankyrin domain 	AT5G64220.1
JAL17	AT1G60110.1	AT1G60110.1		NP_001319274.1	O80736	1	22168502	22170649	1		canonical	19	 Mannose-binding lectin superfamily protein 	AT1G60110.1
TPS05	AT2G23230.1	AT2G23230.1		NP_179904.3	O22184	2	9892716	9895400	1		not observed		 Terpenoid cyclases/Protein prenyltransferases superfamily protein 	AT2G23230.1
NFD6	AT2G20585.1	AT2G20585.1		NP_001118352.1	Q93ZJ3	2	8865222	8866367	1		weak	1	 nuclear fusion defective 6 	AT2G20585.1
UPL1	AT1G55860.1	AT1G55860.1		NP_001185245.1	Q8GY23	1	20879900	20892910	1		canonical	274	 LOW protein: E3 ubiquitin ligase-like protein 	AT1G55860.1
MSBP1	AT5G52240.1	AT5G52240.1		NP_200037.1	Q9XFM6	5	21213121	21214557	1		canonical	49	 membrane steroid binding protein 1 	AT5G52240.1
OFT20	AT2G44500.1	AT2G44500.1		NP_181978.1	O64884	2	18374447	18376435	1		canonical	13	 O-fucosyltransferase family protein 	AT2G44500.1
AN32	AT3G50690.1	AT3G50690.1		NP_190638.1	Q9SCQ7	3	18835271	18837097	1		canonical	9	 Leucine-rich repeat (LRR) family protein 	AT3G50690.1
ICR5	AT3G53350.1	AT3G53350.1		NP_001326318.1	Q8VYU8	3	19780190	19781555	1		canonical	25	 ROP interactive partner 4 	AT3G53350.1
U496L	AT3G19250.1	AT3G19250.1		NP_188556.2	Q9LJK4	3	6666842	6668008	1		not observed		 transmembrane protein%2C putative (DUF677) 	AT3G19250.1
ARGJ	AT2G37500.1	AT2G37500.1		NP_001118463.1	Q9ZUR7	2	15739904	15742689	1		canonical	44	 arginine biosynthesis protein ArgJ family 	AT2G37500.1
KIN11	AT3G29160.1	AT3G29160.1		NP_566843.1	P92958	3	11128893	11131510	1		canonical	41	 SNF1 kinase homolog 11 	AT3G29160.1
Q5XVJ1	AT1G48980.1	AT1G48980.1		NP_175328.2	Q5XVJ1	1	18118715	18120511	1		not observed		 2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein 	AT1G48980.1
A8MS16	AT5G42567.1	AT5G42567.1		NP_001078693.1	A8MS16	5	17018059	17018406	1		marginally distinguished	9	 inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein (DUF784) 	AT5G42567.1
EDSBC	AT3G48080.1	AT3G48080.1		NP_190391.1	Q9SU71	3	17753104	17755145	1		canonical	18	 alpha/beta-Hydrolases superfamily protein 	AT3G48080.1
PHT13	AT5G43360.1	AT5G43360.1		NP_199150.1	O48639	5	17409524	17411214	1		canonical	22	 phosphate transporter 1%3B3 	AT5G43360.1
CRRS9	AT1G63550.1	AT1G63550.1		NP_176543.2	Q5Q0E2	1	23569786	23570890	1		weak	1	 Receptor-like protein kinase-related family protein 	AT1G63550.1
HATB	AT5G56740.1	AT5G56740.1		NP_200485.1	Q9FJT8	5	22953009	22955577	1		canonical	56	 histone acetyltransferase of the GNAT family 2 	AT5G56740.1
NUD18	AT1G14860.1	AT1G14860.1		NP_172939.1	Q9LQU5	1	5124993	5125805	1		marginally distinguished	3	 nudix hydrolase homolog 18 	AT1G14860.1
ACPM1	AT2G44620.1	AT2G44620.1		NP_181990.1	P53665	2	18414320	18415065	1		canonical	17	 mitochondrial acyl carrier protein 1 	AT2G44620.1
TBL15	AT2G37720.1	AT2G37720.1		NP_181308.1	O80940	2	15818082	15821219	1		canonical	10	 TRICHOME BIREFRINGENCE-LIKE 15 	AT2G37720.1
Q9XI27	AT1G15415.1	AT1G15415.1		NP_172994.1	Q9XI27	1	5300931	5301412	1		canonical	38	 late embryogenesis abundant-like protein 	AT1G15415.1
Q944R3	AT1G50290.1	AT1G50290.1		NP_564564.1	Q944R3	1	18627858	18628262	1		not observed		 hypothetical protein 	AT1G50290.1
Q94AQ3	AT1G48750.1	AT1G48750.1		NP_564532.1	Q94AQ3	1	18036019	18036303	1		canonical	13	 Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein 	AT1G48750.1
A0A1P8BAC6	AT5G46395.1	AT5G46395.1		NP_001330289.1	A0A1P8BAC6	5	18819464	18819755	1		not observed		 transmembrane protein 	AT5G46395.1
AB27B	AT5G39040.1	AT5G39040.1		NP_198720.2	Q0WML0	5	15625660	15629621	1		canonical	42	 transporter associated with antigen processing protein 2 	AT5G39040.1
ACCR1	AT3G09780.1	AT3G09780.1		NP_187589.1	Q9S7D9	3	3000838	3003165	1		canonical	8	 CRINKLY4 related 1 	AT3G09780.1
Q500V6	AT1G13140.1	AT1G13140.1		NP_172773.4	Q500V6	1	4478667	4480271	1		canonical	22	 cytochrome P450%2C family 86%2C subfamily C%2C polypeptide 3 	AT1G13140.1
O81801	AT4G35700.1	AT4G35700.1		NP_195295.1	O81801	4	16923351	16924178	1		canonical	19	 zinc finger (C2H2 type) family protein 	AT4G35700.1
Q9FMQ0	AT5G12120.1	AT5G12120.1		NP_196773.1	Q9FMQ0	5	3916229	3918088	1		canonical	45	 Ubiquitin-associated/translation elongation factor EF1B protein 	AT5G12120.1
GPAT2	AT1G02390.1	AT1G02390.1		NP_563651.1	Q9FZ22	1	480921	483163	1		canonical	5	 glycerol-3-phosphate acyltransferase 2 	AT1G02390.1
HDT2	AT5G22650.1	AT5G22650.1		NP_197657.3	Q56WH4	5	7534120	7536054	1		canonical	191	 histone deacetylase 2B 	AT5G22650.1
F4J5F9	AT3G30235.1	AT3G30235.1		NP_001154654.1	F4J5F9	3	11882266	11883625	1		not observed		 General transcription factor 2-related zinc finger protein 	AT3G30235.1
XCP1	AT4G35350.1	AT4G35350.1		NP_567983.1	O65493	4	16810529	16811875	1		canonical	20	 xylem cysteine peptidase 1 	AT4G35350.1
Q6NPI4	AT2G03505.1	AT2G03505.1		NP_001324360.1	Q6NPI4	2	1064317	1065094	1		canonical	7	 Carbohydrate-binding X8 domain superfamily protein 	AT2G03505.1
GLAK1	AT3G01640.1	AT3G01640.1		NP_566144.2	Q93ZC9	3	239418	241198	1		canonical	46	 glucuronokinase G 	AT3G01640.1
HA22A	AT1G74520.1	AT1G74520.1		NP_001323240.1	Q9S7V4	1	28008109	28009156	1		canonical	5	 HVA22 homologue A 	AT1G74520.1
F4I3A1	AT1G36960.1	AT1G36960.1		NP_683357.1	F4I3A1	1	14014796	14015508	1		not observed		 hypothetical protein 	AT1G36960.1
SYEM	AT5G64050.1	AT5G64050.1		NP_201210.1	Q9FEA2	5	25630196	25633099	1		canonical	69	 glutamate tRNA synthetase 	AT5G64050.1
TOP1B	AT5G55310.1	AT5G55310.1		NP_200342.1	Q9FJ79	5	22430389	22434590	1		canonical	66	 DNA topoisomerase 1 beta 	AT5G55310.1
F4I1R5	AT1G49420.1	AT1G49420.1		NP_175367.2	F4I1R5	1	18287859	18288650	1		not observed		 Heavy metal transport/detoxification superfamily protein 	AT1G49420.1
Y1089	AT1G10890.1	AT1G10890.1		NP_001322756.1	P0CB26	1	3628081	3630545	1		canonical	12	 arginine/glutamate-rich 1 protein 	AT1G10890.1
DF226	AT1G65113.1	AT1G65113.1		NP_001031236.1	P82621	1	24189464	24189837	1		canonical	4	 SCR-like 2 	AT1G65113.1
PP288	AT3G60050.1	AT3G60050.1		NP_001326964.1	Q9M1D8	3	22180231	22181652	1		canonical	4	 Pentatricopeptide repeat (PPR) superfamily protein 	AT3G60050.1
MT797	AT5G37970.1	AT5G37970.1		NP_198613.2	Q9FKD0	5	15123089	15124435	1		canonical	10	 S-adenosyl-L-methionine-dependent methyltransferase superfamily protein 	AT5G37970.1
FB257	AT5G15660.1	AT5G15660.1		NP_197070.1	Q9LFW0	5	5095652	5097041	1		not observed		 F-box and associated interaction domains-containing protein 	AT5G15660.1
RID2	AT5G57280.1	AT5G57280.1		NP_200538.1	Q9LVD0	5	23204533	23206485	1		canonical	11	 S-adenosyl-L-methionine-dependent methyltransferases superfamily protein 	AT5G57280.1
TORL1	AT1G50890.1	AT1G50890.1		NP_175502.2	F4I6M4	1	18862295	18865752	1		canonical	20	 ARM repeat superfamily protein 	AT1G50890.1
O22211	AT2G41490.1	AT2G41490.1		NP_565950.1	O22211	2	17301762	17304030	1		canonical	14	 UDP-glcnac-adolichol phosphate glcnac-1-p-transferase 	AT2G41490.1
F4J4R5	AT3G01600.1	AT3G01600.1		NP_001319443.1	F4J4R5	3	229365	231183	1		canonical	6	 NAC domain containing protein 44 	AT3G01600.1
	AT1G34812.1	AT1G34812.1				1	12781126	12781766	1		not observed		 hypothetical protein 	AT1G34812.1
LEA32	AT3G22500.1	AT3G22500.1		NP_188889.1	Q9LJ95	3	7971920	7972865	1		canonical	80	 Seed maturation protein 	AT3G22500.1
Q9LNQ6	AT1G17490.1	AT1G17490.1		NP_564026.1	Q9LNQ6	1	6008669	6009165	1		canonical	12	 epidermal patterning factor-like protein 	AT1G17490.1
O81797	AT4G35660.1	AT4G35660.1		NP_195291.1	O81797	4	16912792	16913658	1		not observed		 selection/upkeep of intraepithelial T-cells protein%2C putative (DUF241) 	AT4G35660.1
A0A178WLG7	AT1G51790.2	AT1G51790.2		NP_001321841.1	A0A178WLG7	1	19206858	19210574	1		canonical	31	 Leucine-rich repeat protein kinase family protein 	AT1G51790.2
Q9S833	AT3G01900.1	AT3G01900.1		NP_566155.1	Q9S833	3	312359	313849	1		subsumed by AT5G63450.1	3	 cytochrome P450%2C family 94%2C subfamily B%2C polypeptide 2 	AT3G01900.1
CARB	AT1G29900.1	AT1G29900.1		NP_564338.1	Q42601	1	10468164	10471976	1		canonical	258	 carbamoyl phosphate synthetase B 	AT1G29900.1
Q9FVR9	AT1G57770.1	AT1G57770.1		NP_176088.2	Q9FVR9	1	21395254	21398135	1		canonical	40	 FAD/NAD(P)-binding oxidoreductase family protein 	AT1G57770.1
CFIS1	AT4G29820.1	AT4G29820.1		NP_567835.1	Q94AF0	4	14596047	14597317	1		canonical	9	 homolog of CFIM-25 	AT4G29820.1
A0A1P8B2C8	AT2G10025.1	AT2G10025.1		NP_001325169.1	A0A1P8B2C8	2	3802330	3803063	1		not observed		 hypothetical protein 	AT2G10025.1
THE1	AT5G54380.1	AT5G54380.1		NP_200249.1	Q9LK35	5	22077313	22079880	1		canonical	34	 protein kinase family protein 	AT5G54380.1
RLP26	AT2G33050.1	AT2G33050.1		NP_180864.1	O49328	2	14021870	14024272	1		canonical	26	 receptor like protein 26 	AT2G33050.1
B3H5N8	AT2G16019.1	AT2G16019.1		NP_001118326.1	B3H5N8	2	6973172	6973282	1		not observed		 hypothetical protein 	AT2G16019.1
C3H47	AT3G55980.1	AT3G55980.1		NP_567030.1	Q93ZS9	3	20776857	20778599	1		canonical	17	 salt-inducible zinc finger 1 	AT3G55980.1
VQ18	AT2G44340.1	AT2G44340.1		NP_181962.1	O64868	2	18314279	18314845	1		not observed		 VQ motif-containing protein 	AT2G44340.1
IAA28	AT5G25890.1	AT5G25890.1		NP_568478.1	Q9XFM0	5	9033480	9034554	1		weak	1	 indole-3-acetic acid inducible 28 	AT5G25890.1
Q3ECF8	AT1G68945.1	AT1G68945.1		NP_683484.1	Q3ECF8	1	25927168	25927314	1		not observed		 hypothetical protein 	AT1G68945.1
F4HP06	AT1G12990.1	AT1G12990.1		NP_172759.2	F4HP06	1	4433973	4435552	1		canonical	3	 beta-1%2C4-N-acetylglucosaminyltransferase family protein 	AT1G12990.1
MES1	AT2G23620.1	AT2G23620.1		NP_179943.1	Q8S8S9	2	10047462	10049248	1		canonical	10	 methyl esterase 1 	AT2G23620.1
Q9FY56	AT5G11090.1	AT5G11090.1		NP_196670.1	Q9FY56	5	3524796	3525449	1		canonical	10	 serine-rich protein-like protein 	AT5G11090.1
Q94K68	AT5G27560.1	AT5G27560.1		NP_001332626.1	Q94K68	5	9731758	9733644	1		canonical	19	 DUF1995 domain protein%2C putative (DUF1995) 	AT5G27560.1
FB77	AT1G67390.1	AT1G67390.1		NP_176906.1	Q9FYF4	1	25244690	25247139	1		not observed		 F-box family protein 	AT1G67390.1
CMTA1	AT5G09410.1	AT5G09410.1		NP_001119195.1	Q9FY74	5	2921457	2927291	1		canonical	39	 ethylene induced calmodulin binding protein 	AT5G09410.1
Q9FZ68	AT1G13610.1	AT1G13610.1		NP_172818.2	Q9FZ68	1	4664008	4665975	1		canonical	4	 alpha/beta-Hydrolases superfamily protein 	AT1G13610.1
O23235	AT4G36460.1	AT4G36460.1		NP_195364.1	O23235	4	17212662	17213099	1		not observed		 transmembrane protein 	AT4G36460.1
TAUE5	AT4G21250.1	AT4G21250.1		NP_193857.3	F4JIP9	4	11325030	11326637	1		subsumed by AT5G23290.1	2	 Sulfite exporter TauE/SafE family protein 	AT4G21250.1
OXI1	AT3G25250.1	AT3G25250.1		NP_189162.1	Q9LSF1	3	9195566	9196949	1		canonical	2	 AGC (cAMP-dependent%2C cGMP-dependent and protein kinase C) kinase family protein 	AT3G25250.1
XTH12	AT5G57530.1	AT5G57530.1		NP_200561.1	Q9FKL9	5	23300469	23301549	1		canonical	15	 xyloglucan endotransglucosylase/hydrolase 12 	AT5G57530.1
FB53	AT1G50880.1	AT1G50880.1		NP_175501.1	Q9C6J2	1	18860837	18861982	1		not observed		 F-box and associated interaction domains-containing protein 	AT1G50880.1
Q8S8P4	AT2G38465.1	AT2G38465.1		NP_565890.1	Q8S8P4	2	16106393	16106810	1		canonical	7	 hypothetical protein 	AT2G38465.1
CYB5C	AT2G46650.1	AT2G46650.1		NP_182188.1	Q9ZNV4	2	19151807	19152394	1		canonical	12	 cytochrome B5 isoform C 	AT2G46650.1
CSLA7	AT2G35650.1	AT2G35650.1		NP_565813.1	Q9ZQN8	2	14985625	14988187	1		canonical	3	 cellulose synthase like 	AT2G35650.1
Q8RY23	AT5G18860.1	AT5G18860.1		NP_001330199.1	Q8RY23	5	6291023	6295581	1		canonical	56	 inosine-uridine preferring nucleoside hydrolase family protein 	AT5G18860.1
CD48E	AT5G03340.1	AT5G03340.1		NP_568114.1	Q9LZF6	5	810091	813133	1		canonical	400	 ATPase%2C AAA-type%2C CDC48 protein 	AT5G03340.1
DF112	AT2G12475.1	AT2G12475.1		NP_001031350.1	Q2V488	2	5068490	5068853	1		weak	1	 Defensin-like (DEFL) family protein 	AT2G12475.1
A0A2H1ZEG9	AT1G79920.1	AT1G79920.1		NP_850984.5	A0A2H1ZEG9	1	30059302	30062224	1		canonical	247	 Heat shock protein 70 (Hsp 70) family protein 	AT1G79920.1
NDH	PeptideAtlas_ATCG00420.1	PeptideAtlas_ATCG00420.1			P56754	C	48677	49153	1		canonical	19	 NADH dehydrogenase subunit J 	ATCG00420.1
WRK17	AT2G24570.1	AT2G24570.1		NP_565574.1	Q9SJA8	2	10437676	10439222	1		canonical	9	 WRKY DNA-binding protein 17 	AT2G24570.1
F4JV48	AT4G32730.2	AT4G32730.2		NP_001328944.1	F4JV48	4	15791039	15795643	1		canonical	36	 Homeodomain-like protein 	AT4G32730.2
Q9LR55	AT1G03720.1	AT1G03720.1		NP_171868.1	Q9LR55	1	924996	926373	1		not observed		 Cysteine proteinases superfamily protein 	AT1G03720.1
Q9FXB5	AT1G56660.1	AT1G56660.1		NP_001321049.1	Q9FXB5	1	21238809	21240377	1		canonical	63	 MAEBL domain protein 	AT1G56660.1
LOG4	AT3G53450.1	AT3G53450.1		NP_190913.1	Q9LFH3	3	19812977	19815430	1		canonical	8	 Putative lysine decarboxylase family protein 	AT3G53450.1
NDHM	AT4G37925.1	AT4G37925.1		NP_001031804.1	Q2V2S7	4	17830748	17831485	1		canonical	31	 subunit NDH-M of NAD(P)H:plastoquinone dehydrogenase complex 	AT4G37925.1
PME51	AT5G09760.1	AT5G09760.1		NP_001331158.1	Q9LXD9	5	3032446	3034364	1		canonical	33	 Plant invertase/pectin methylesterase inhibitor superfamily 	AT5G09760.1
RRA3	AT1G19360.1	AT1G19360.1		NP_001321670.1	Q9LN62	1	6690672	6692211	1		canonical	38	 Nucleotide-diphospho-sugar transferase family protein 	AT1G19360.1
Q9LDL9	AT3G12890.1	AT3G12890.1		NP_566437.1	Q9LDL9	3	4099223	4100277	1		not observed		 activator of spomin::LUC2 	AT3G12890.1
Q9LJA2	AT3G29635.1	AT3G29635.1		NP_189605.1	Q9LJA2	3	11465851	11467227	1		canonical	6	 HXXXD-type acyl-transferase family protein 	AT3G29635.1
LAZH1	AT1G77220.1	AT1G77220.1		NP_565152.1	Q94CA0	1	29013232	29015530	1		canonical	6	 organic solute transporter ostalpha protein (DUF300) 	AT1G77220.1
TFB5	AT1G12400.1	AT1G12400.1		NP_001321468.1	Q6NNM0	1	4222296	4222603	1		canonical	4	 Nucleotide excision repair%2C TFIIH%2C subunit TTDA 	AT1G12400.1
Q1G3R7	AT2G41342.1	AT2G41342.1		NP_001118495.1	Q1G3R7	2	17230650	17230898	1		weak	1	 hypothetical protein 	AT2G41342.1
